,NFT,# Buyers,# Txns,Difference,Txns/Buyer
0,The Bloons,1,20,19,20.0
1,Sumatra Fitness Squad,1,20,19,20.0
2,Army Ape Club,1,20,19,20.0
3,Shiba Bot Army,1,18,17,18.0
4,Ballistic Graffiti Club Premium Pass,1,14,13,14.0
5,CaveDinos,1,13,12,13.0
6,SatanLovesNFTees,1,11,10,11.0
7,RappearsNFTs,2,21,19,10.5
8,SkunkNut,1,10,9,10.0
9,K-NFT,1,10,9,10.0
10,ChildhoodDreams,1,10,9,10.0
11,Buzzed Bear Hideout,2,20,18,10.0
12,BasementDwellers,1,10,9,10.0
13,Reckless Whales,1,8,7,8.0
14,Greedy Goblins,1,8,7,8.0
15,CryptoMonster Lab,1,8,7,8.0
16,PepeMon Adventures,3,23,20,7.666666666666667
17,MetaPunk,3,22,19,7.333333333333333
18,H-Hedz Sharksquad,3,20,17,6.666666666666667
19,The Californians,3,18,15,6.0
20,The Apes,1,6,5,6.0
21,Last Breath,1,6,5,6.0
22,LOOK LABS End Game,8,48,40,6.0
23,Bad Baby Dinos,2,12,10,6.0
24,dementorstownwtf,6,35,29,5.833333333333333
25,YouByPeace,2,11,9,5.5
26,Blesssed Zombies,2,11,9,5.5
27,Lovebirds,3,16,13,5.333333333333333
28,Sloth Roob Official,1,5,4,5.0
29,Rarity Garden,2,10,8,5.0
30,Parrots of the Carribean,1,5,4,5.0
31,AICryptoadz,2,10,8,5.0
32,LOOK LABS GOATS PFP,13,56,43,4.3076923076923075
33,TheHighSociety,4,17,13,4.25
34,SupDudes,3,12,9,4.0
35,MetaBucks2,3,12,9,4.0
36,KamiTama,2,8,6,4.0
37,IrlMutantApes,2,8,6,4.0
38,Fancy Honey Jars,2,8,6,4.0
39,Bad Kids Alley,3,12,9,4.0
40,ARBO Artifacts,2,8,6,4.0
41,BrainDrops,11,43,32,3.909090909090909
42,0x0411f0ff4105fdc075e5e1bfdab47183c1b9df78,6,23,17,3.8333333333333335
43,Moonlings,4,15,11,3.75
44,Time Travel Tots,3,11,8,3.6666666666666665
45,3D Generativemasks,6,22,16,3.6666666666666665
46,Shinobi Bunny Dawn,9,32,23,3.5555555555555554
47,Moon Loot Bags,2,7,5,3.5
48,Bloodshed Bears TreeHouse,5,17,12,3.4
49,MOON LIZZYS,8,27,19,3.375
50,Found on Mars,4,13,9,3.25
51,Turtle Town,2,6,4,3.0
52,Lucky Gators,2,6,4,3.0
53,LegacyFriendsGenesis,2,6,4,3.0
54,THREEFACE,10,29,19,2.9
55,"X,Y Coordinates",4,11,7,2.75
56,Generativemasks,12,33,21,2.75
57,Robot Town,3,8,5,2.6666666666666665
58,Portrade,3,8,5,2.6666666666666665
59,DubaiDudes,8,21,13,2.625
60,MONGS,6,15,9,2.5
61,0x5d8df315953fbb27a25cb82ac9281051b9410fe1,6,15,9,2.5
62,Sky Meadow by Andrew Mitchell,3,7,4,2.3333333333333335
63,BrawlerZ,6,14,8,2.3333333333333335
64,WinnerCo ID Badge,7,16,9,2.2857142857142856
65,Hot Dougs,4,9,5,2.25
66,Fools,4,9,5,2.25
67,Groovy Doodles,12,26,14,2.1666666666666665
68,EverythingsCoo,7,15,8,2.142857142857143
69,The Scornables,5,10,5,2.0
70,NIWA by Fabrik,4,8,4,2.0
71,Kennel Town,6,12,6,2.0
72,Cyborx,4,8,4,2.0
73,Fall Premier Razz,39,77,38,1.9743589743589745
74,WTPhunks,12,23,11,1.9166666666666667
75,Night City,11,21,10,1.9090909090909092
76,Saibapanku,9,17,8,1.8888888888888888
77,EveraiBanner,15,28,13,1.8666666666666667
78,Satoshi Runners,7,13,6,1.8571428571428572
79,MarsCatsVoyage,6,11,5,1.8333333333333333
80,Famous Fucking Frens,6,11,5,1.8333333333333333
81,3DMoonBirds,29,52,23,1.793103448275862
82,The Bored Ape Americans,24,43,19,1.7916666666666667
83,Banana,27,48,21,1.7777777777777777
84,Metroverse Mini City Block,31,55,24,1.7741935483870968
85,The Saudis Rare Apepe YC,14,24,10,1.7142857142857142
86,Outkast,7,12,5,1.7142857142857142
87,0xDragons,24,41,17,1.7083333333333333
88,The Blinkless,13,22,9,1.6923076923076923
89,Space Bozos,27,45,18,1.6666666666666667
90,Moon Necks,15,25,10,1.6666666666666667
91,CryptoClitLips,12,20,8,1.6666666666666667
92,MutantAIYachtClub,26,43,17,1.6538461538461537
93,OG Ape Club,8,13,5,1.625
94,Im Literally Shitting,7,11,4,1.5714285714285714
95,BoozeBears,7,11,4,1.5714285714285714
96,boogerz.wtf,29,45,16,1.5517241379310345
97,"Love, Death + Robots",15,23,8,1.5333333333333334
98,Flipmap,32,49,17,1.53125
99,TheLoopssessed,20,30,10,1.5
100,Porkchamps,16,24,8,1.5
101,BoredAIClub,18,27,9,1.5
102,Abucting-Mfers-Deployer,12,18,6,1.5
103,ShatteredEon,43,64,21,1.4883720930232558
104,Basic Rarity,38,56,18,1.4736842105263157
105,forgottendog.wtf,17,25,8,1.4705882352941178
106,Animated Bored Ape,15,22,7,1.4666666666666666
107,Miningverse,37,54,17,1.4594594594594594
108,Lil Chimps Official,11,16,5,1.4545454545454546
109,GobladdinTown,11,16,5,1.4545454545454546
110,CF MintStone II,11,16,5,1.4545454545454546
111,LIKO,20,29,9,1.45
112,Blvck Genesis,14,20,6,1.4285714285714286
113,SMOWL,12,17,5,1.4166666666666667
114,Pixel Rex,10,14,4,1.4
115,Bored Ape Galactic Club,49,68,19,1.3877551020408163
116,Munko,13,18,5,1.3846153846153846
117,Moonthers,13,18,5,1.3846153846153846
118,My Cyborg Son,21,29,8,1.380952380952381
119,GangApeBlingClub,37,51,14,1.3783783783783783
120,Barts Farm Frens,45,62,17,1.3777777777777778
121,First Editions - Punk #1859 by Blokpax,19,26,7,1.368421052631579
122,Punk You,30,41,11,1.3666666666666667
123,anomaly,11,15,4,1.3636363636363635
124,Pixl Pets,11,15,4,1.3636363636363635
125,Pepeverse,11,15,4,1.3636363636363635
126,PandaParadise,11,15,4,1.3636363636363635
127,Bubble Beasts,11,15,4,1.3636363636363635
128,Babby,44,60,16,1.3636363636363635
129,Funky Flies,17,23,6,1.3529411764705883
130,Mecha Ape Yacht Club,54,73,19,1.3518518518518519
131,MAXPEPE by YCOPY,54,73,19,1.3518518518518519
132,Godlovenftees,181,244,63,1.3480662983425415
133,TheKaliYugaLab,81,109,28,1.345679012345679
134,Space Monkeys NFT,347,463,116,1.3342939481268012
135,The British,15,20,5,1.3333333333333333
136,Moonfish,15,20,5,1.3333333333333333
137,BrokeApeClub,33,44,11,1.3333333333333333
138,Project Dudes,25,33,8,1.32
139,The Lobstars,22,29,7,1.3181818181818181
140,Goblin Hipsters,17,22,5,1.2941176470588236
141,PsychonautzNFT,14,18,4,1.2857142857142858
142,MarshmallowMob,14,18,4,1.2857142857142858
143,Kaiju Legends,18,23,5,1.2777777777777777
144,Goopdoods,15,19,4,1.2666666666666666
145,FATTIES,15,19,4,1.2666666666666666
146,DokeV,88,111,23,1.2613636363636365
147,Toxic Skulls Club,27,34,7,1.2592592592592593
148,TumTumNFT,93,117,24,1.2580645161290323
149,Supreme Skulls,20,25,5,1.25
150,Kumite - Genesis Collection,24,30,6,1.25
151,Mutant Shiba Club,25,31,6,1.24
152,Terraforms,35,43,8,1.2285714285714286
153,The Mutant Ape Saudis,102,125,23,1.2254901960784315
154,Women Ape Yacht Club,72,88,16,1.2222222222222223
155,The Magus World,18,22,4,1.2222222222222223
156,CryptoZunks,18,22,4,1.2222222222222223
157,Pepo Is Fine,52,63,11,1.2115384615384615
158,Downsies,38,46,8,1.2105263157894737
159,Toysterz,288,348,60,1.2083333333333333
160,Dropoutz NFT,24,29,5,1.2083333333333333
161,0xTHULU Relic of Membership,101,122,21,1.2079207920792079
162,NFTMaps Land,78,94,16,1.205128205128205
163,9999 Luftballons,74,89,15,1.2027027027027026
164,V3 Phunks,84,101,17,1.2023809523809523
165,Whimsy Sisters,134,161,27,1.2014925373134329
166,Pollocks Bored Apes,20,24,4,1.2
167,Webaverse Genesis Pass,63,75,12,1.1904761904761905
168,MoonZilla,21,25,4,1.1904761904761905
169,Cheebs NFT,43,51,8,1.186046511627907
170,MinimenClub,65,77,12,1.1846153846153846
171,SHIBOSHIS,22,26,4,1.1818181818181819
172,Coolman's Universe,22,26,4,1.1818181818181819
173,MoonTrolls,250,295,45,1.18
174,YOLO,135,159,24,1.1777777777777778
175,OpenSea Shared Storefront,750,881,131,1.1746666666666667
176,Chubby Grubby,35,41,6,1.1714285714285715
177,Sunbirbs,24,28,4,1.1666666666666667
178,Lost Tigerz,54,63,9,1.1666666666666667
179,IDNTTS,42,49,7,1.1666666666666667
180,Degen Toonz,24,28,4,1.1666666666666667
181,Colonists,31,36,5,1.1612903225806452
182,The Art of Seasons,44,51,7,1.1590909090909092
183,BasedBirds,151,175,24,1.1589403973509933
184,Non-Financial Advisors,39,45,6,1.1538461538461537
185,CryptoSimeji,119,137,18,1.1512605042016806
186,GenuineUndeadApes,188,216,28,1.148936170212766
187,Monsters Inside NFT,74,85,11,1.1486486486486487
188,ASMAIFAAllStarsCharacter,27,31,4,1.1481481481481481
189,Metropolis World Passport,157,180,23,1.1464968152866242
190,The Randoms,35,40,5,1.1428571428571428
191,Rektguy,28,32,4,1.1428571428571428
192,Gossamer Academy,49,56,7,1.1428571428571428
193,Emblem Vault V2,50,57,7,1.14
194,TheSaudisGoblin,129,147,18,1.1395348837209303
195,Goblinhorde,43,49,6,1.1395348837209303
196,Gossamer Seed,115,131,16,1.1391304347826088
197,parallel,778,886,108,1.1388174807197944
198,VIVID,29,33,4,1.1379310344827587
199,TPL Mecha Part,29,33,4,1.1379310344827587
200,Cosmic Coffee Cups,29,33,4,1.1379310344827587
201,Rarible,110,125,15,1.1363636363636365
202,Toasted Toonz,118,134,16,1.1355932203389831
203,troll-town.wtf,45,51,6,1.1333333333333333
204,Moonbirds2,30,34,4,1.1333333333333333
205,FreeFriends,45,51,6,1.1333333333333333
206,Black Box,99,112,13,1.1313131313131313
207,Master Cats,61,69,8,1.1311475409836065
208,Ethereum Name Service,1301,1469,168,1.12913143735588
209,TheMerge,31,35,4,1.1290322580645162
210,Fly Guys,31,35,4,1.1290322580645162
211,Fairy Fiends,70,79,9,1.1285714285714286
212,Mecha Cat Crew,32,36,4,1.125
213,Ape Hater Club,114,128,14,1.1228070175438596
214,Skull'edz,98,110,12,1.1224489795918366
215,Crypto Pudgy Punks,327,367,40,1.1223241590214068
216,Banana Task Force Ape,41,46,5,1.1219512195121952
217,TycoonTigersClub,115,129,14,1.1217391304347826
218,Wilderness to Blockchain,33,37,4,1.121212121212121
219,Something Token,33,37,4,1.121212121212121
220,Shrapnel Operators Collection,33,37,4,1.121212121212121
221,CryptoCrabs,108,121,13,1.1203703703703705
222,Apocalyptic Apes,42,47,5,1.119047619047619
223,q00nicorns,34,38,4,1.1176470588235294
224,NotOkayBears,60,67,7,1.1166666666666667
225,Super Fried Chicken,96,107,11,1.1145833333333333
226,Moondust,315,350,35,1.1111111111111112
227,Techie Club Genesis,253,281,28,1.1106719367588933
228,8liens,257,285,28,1.1089494163424125
229,Ugly Duck WTF,92,102,10,1.108695652173913
230,Mirs Of Space,46,51,5,1.108695652173913
231,PUMA Nitro Token,83,92,9,1.108433734939759
232,AIPudgys,84,93,9,1.1071428571428572
233,SAN Origin,318,352,34,1.1069182389937107
234,Apesessed,94,104,10,1.1063829787234043
235,Face Fatigue Union,132,146,14,1.106060606060606
236,DragonTown,95,105,10,1.105263157894737
237,Bored Bits Yacht Club,96,106,10,1.1041666666666667
238,BTFDRabbits,126,139,13,1.1031746031746033
239,Surf The Kali Yuga,186,205,19,1.1021505376344085
240,Mirakai Scrolls,60,66,6,1.1
241,DinoBits,60,66,6,1.1
242,Allstarz,212,233,21,1.099056603773585
243,Mud Cats,213,234,21,1.0985915492957747
244,Beanz,51,56,5,1.0980392156862746
245,Tikka Tiger NFT,41,45,4,1.0975609756097562
246,Space Jumpers,123,135,12,1.0975609756097562
247,Space Riders,72,79,7,1.0972222222222223
248,Guilty Bunnies,52,57,5,1.0961538461538463
249,Town Star,386,422,36,1.0932642487046633
250,HuemanHead,97,106,9,1.092783505154639
251,Kitaro World,98,107,9,1.0918367346938775
252,MetaWizards,122,133,11,1.0901639344262295
253,LIVES OF LALISA,146,159,13,1.0890410958904109
