"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Buyer","NFT","Token ID","Type","Quantity","Price","Market"
"0x740797cc716992f440ee37783ceda210bf8300570099e6d368aacc08e56043b6","1661904038","2022-08-31 00:00:38","Bought","0x2488943087890149549159136109736654186265","Phoenixes","6972","721","1","0.062 ETH ($96.36)","OpenSea"
"0xb15ac0d0a1656f848b22098ce1fbc2c85db2f365ec784f7c4cc41e7371d360f1","1661904038","2022-08-31 00:00:38","Bought","0x9436637285436348065888627220155884807961","Phoenixes","4798","721","1","0.069 ETH ($107.24)","OpenSea"
"0xb15ac0d0a1656f848b22098ce1fbc2c85db2f365ec784f7c4cc41e7371d360f1","1661904038","2022-08-31 00:00:38","Bought","0x7883538580000696896918801025831129491225","Phoenixes","5769","721","1","0.069 ETH ($107.24)","OpenSea"
"0xee604169c5d459ad43f4a7934edb88404f75daae1d80967ae468cee7672c94ff","1661904038","2022-08-31 00:00:38","Bought","0x96e0736830de4db873c87ee8a89fd19a34d67b0a","My Cyborg Son","4216","721","1","0.0095 WETH ($14.76)","OpenSea"
"0xc2055a757abb7d030fc8f596142cb1dbb7d8cd3f2f15c8c6c9d67704751de7f3","1661904038","2022-08-31 00:00:38","Bought","0x0111050533143937418676685980139006425655","My Cyborg Son","3066","721","1","0.009 ETH ($13.99)","OpenSea"
"0x4d3c63000f3c75211c79976614f53c7070d489f52989691ab7ea52f3a5874d7a","1661904038","2022-08-31 00:00:38","Bought","0xe9b6d15cd68dc45e3f5af3ed206cb8b335682644","First Editions - Punk #1859 by Blokpax","1225","721","1","0.0135 WETH ($20.98)","OpenSea"
"0x9753acbbc4ac3386bc2b3f55d624156e99e0acf99bfb4de456e7d306a50f51de","1661904038","2022-08-31 00:00:38","Bought","0x5292102537aa1a276869b30ca41c9997fea89299","My Cyborg Son","1414","721","1","0.0089 ETH ($13.83)","X2Y2"
"0xcba273e2d1654241098b25e91fc16ddc94cb923634eb76437824b5c33972f7fb","1661904038","2022-08-31 00:00:38","Bought","0x4511045818285693129831123854319098878183","Phoenixes","7917","721","1","0.0699 ETH ($108.64)","OpenSea"
"0xa7f5f1f613a8a8223173a76e9a2e9e5683d379131c5528ddd527cca21d0a887b","1661904038","2022-08-31 00:00:38","Bought","0xa7fb9d754dfc92da472d488feb4840b6f1e9f792","Phoenixes","1357","721","1","0.0602 WETH ($93.56)","OpenSea"
"0x7b557755bfedad55be5912a3486feb028d0801e6a13008260dfd23c295c7a796","1661904038","2022-08-31 00:00:38","Bought","0x3265832242933151800821548683939608954069","Balloon Town MintPass","2","1155","1","0.008 ETH ($12.43)","OpenSea"
"0xde5938a3cedde83c7a3ddfe0b865a48b34ec6d9c943d38db545124385247e395","1661904040","2022-08-31 00:00:40","Bought","0x4766039609245568631603769253439608281319","Phoenixes","1473","721","1","0.062 ETH ($96.36)","OpenSea"
"0x97e38b85fa388a4624bef6883113db30cef1175fd825feec0acd1189094527e8","1661904040","2022-08-31 00:00:40","Bought","0xc8803d21a704bfebdbc394bd16501a4b36ad3a2d","Phoenixes","8317","721","1","0.065 ETH ($101.02)","X2Y2"
"0xe3a35eead32844ed99fa558ff741cb22e35acdbc10cee9771cfab40b20993980","1661904040","2022-08-31 00:00:40","Bought","0x7809445309913364219682663726606623004903","Phoenixes","8233","721","1","0.065 ETH ($101.02)","OpenSea"
"0x03572979f03d8b0618f89d783919f920fc93f02d8801c729f13d916d7b187d55","1661904040","2022-08-31 00:00:40","Bought","0x6753022955699354065356138743244163209447","Phoenixes","2636","721","1","0.065 ETH ($101.02)","OpenSea"
"0x20f4466f43fc2682f8a371865c7dbb1dfec235ea207d5d6c0aaf73b2cf8ba1cb","1661904040","2022-08-31 00:00:40","Bought","0x7368461166262001739480113133466897701095","Phoenixes","4814","721","1","0.062 ETH ($96.36)","OpenSea"
