Txn Hash,UnixTimestamp,Date Time (UTC),Buyer,NFT,Token ID,Type,Quantity,Price
0xa71dd029434870678524376a641eb4299fe087ba2f3dfa63dc003a5473be8300,1661644834,2022-08-28 00:00:34,0x9cdf8e20ec372d7521d924ed1f0d1af0ea7d656f,Rarible,84145577422578760653127528674159326247375067286072742247640248188156935929857,1155,1,5e+17
0xc6a7c90bf27d4995aa394482b6d5e6091d850aa9ad30997133d181fdf024ac77,1659399980,2022-08-02 00:26:20,0x62607d87b5793859fb80ac96c743e8e1df4e4905,Rarible,58518691220585868770761254790623054030751451366169242668974134629543926825401,721,1,4.5e+17
0x896389936da73f9030ea5eec49ea4a9a2a63d0f39618e34c83fe81bff01acdc9,1659226598,2022-07-31 00:16:38,0xdf6398d0e5c6638a3dc0352935648e4e08707cd5,Release,38998209385171831795167833561015453163136424900242004019671864180997590351883,721,1,1e+17
0x1efb24912d71d7deedd1f478680babd5992433ac882fa6fb6e5350211b936482,1661473196,2022-08-26 00:19:56,0x26563b4fc763748bd7793e2b8a292fd910ba9d8b,Chiko &amp; Roko Art,104549926831503118793762329251243208299053227270342913689596567746690968191009,1155,2,1e+17
0x27a68a27e12874561690eb2f07ed2e86df055da97bfe645ac51353a81bb59991,1660349964,2022-08-13 00:19:24,0x059b4d66c7e00a279126c98e62bbd17379f1c5ef,Rarible,43172552090319228345336215424376573137974344874100331213869759356738824306699,1155,1,3e+16
0x01e3009b06d7c7e3c5aee1bc78f68ba2a9e201accf376f1381c47e908a6c5246,1656721440,2022-07-02 00:24:00,0x411ab63543c1fb1ca4b42e9352984750e25ec7e4,Rarible,97402040825510010126153115771842710797735979598859632284395272078989755154433,721,1,2e+16
0x64fe9d1da1b7eb48302e241814bf92910548df335ea346cb3d2cf3b3ae8d3a48,1658362313,2022-07-21 00:11:53,0x90b966f5087812884237fd4b9a7a53ba6262fc2a,Toon Squad,80531218583500523812644528662635638982332186840871798379120403914657707851784,721,1,2e+16
0xd2ce608936a348702c35a51124ce3b44088003082edeb93c430cc723242773bf,1658967099,2022-07-28 00:11:39,0x8dcb2390b66bb2b326265c19f8a52ee40de6f0a8,Rarible,14723503235016520802855356976491298254662233239330184159670989356437323382791,721,1,1.5e+16
0xa57af7d2f60582291338500a6e7d5ec8a622c91a85af817fbb0e5abab1114a3f,1660263119,2022-08-12 00:11:59,0xf171d6620ef26c014dd5d8915c44de650dfe74ba,Rarible,13499233793953756218724031043745205909348757621028096340081821518286257389572,1155,1,1.5e+16
0xbeff65227639a1e0ade5e57fb37a99b4a25dd845f6c50ab61c07e5876106a99f,1660781406,2022-08-18 00:10:06,0xc16157e00b1bff1522c6f01246b4fb621da048d0,Rarible,97214988092147454473632372919812352013806035799363457164633780546703391195146,1155,1,1e+16
0x9bfda7f5edfd36083d635c07dac68884d9d559ab568a54ef78e44851bf9659de,1661387209,2022-08-25 00:26:49,0xa3a593f6d5a35e54759e22efcc204cd6ce0193fe,Homies in a Half Shell,71112466176650147239675154990433788638104043072088385809884680282097257021470,721,1,1e+16
0x45f99d2a3e8cfa1b7c6014aeac4373c6de6df44d12d17ee87f13e52ec7d0b7c3,1659831272,2022-08-07 00:14:32,0x44ca00c720c74281b7df5bba219a16ae23313dbc,Rarible,114383122259888710189856256655943054048669895195636850084799601192985671237634,721,1,350000000000000.0
0x195c94d01b7eb95739a7c4cfeb560fd6067c9b94596b25c789dbaad98dab62af,1659658642,2022-08-05 00:17:22,0xf6c3512e578e687891ec413b4784ab7a52687b4e,Rarible,55122554969586636166876362563638391668556802416737438094607398345061171200050,1155,1,10000000000000.0
0xd5e449596d423b76608e067e65cddf1f320dff0b41013ebec6802dc236d9882e,1659916902,2022-08-08 00:01:42,0xf549dffa66bd19b26d8884a6dbbe70314321a7a1,Rarible,53214985956888475911260914470870842167061462659335137896070440685461017985035,1155,1,10000000000000.0
0x095ed4d9faa91453661609dda24cc78295f0d0c116c9410712de0a96d9c168ec,1660954681,2022-08-20 00:18:01,0x6129297150860493877119023396428792884005,Genuine Undead,9559,721,4,327199.50553975
0x562f3533cdefff7e1379186f25d0e0049504f2012d3c9fe61346ae6f19aa3fa4,1657844393,2022-07-15 00:19:53,0x572d6f0628ef555061932f85687c9f8f85505ed1,Otherdeed,48352,721,1,186919.6193
0x8ddd5ee05e096be27186985caf1076d895dec99f381c52096e7b7f33fc71a09a,1656721502,2022-07-02 00:25:02,0x6271520009002647244462386796624388544886,jungleking,5283,721,8,166949.98094398127
0x27910ed8cd884c42b9742af7ed3f02a952ea567611e93a2e5648b9190b04a5e2,1660090030,2022-08-10 00:07:10,0x91a3a407c4e8d07134641cffcf8a55e0059925c7,Meebits,13531,721,1,149524.429698
0xc18665a6473aa5da60d55ca4990ec745aac8b787fcdd0756cf37c982ce46a3ab,1657929688,2022-07-16 00:01:28,0x8c0b5a9d8d0e4808c3d70340df3bae8f156fb043,Meebits,18277,721,1,132476.37905073602
0x34a0377254662cc17d673637653642ac08e782186d8402ca59e28dcd877dcbc3,1656893501,2022-07-04 00:11:41,0x0609960978105846027584625438178323811265,The Coffee Club NFT,4532,721,15,121760.09528253331
0x56d906097ef088beb63031a287c6857464b5c024a5cc803d13e0a565fa1ec801,1657411537,2022-07-10 00:05:37,0x2077242697421000755580257534048949304830,The Asians,4535,721,13,109476.39144823079
